image_name,number_vector,median,max
NEKOb2013_000050,"[37, 34, 25, 36, 36, 37]",36,37
NEKOb2013_000051,"[28, 35, 29, 36, 29]",29,36
NEKOb2013_000052,"[26, 27, 25]",26,27
NEKOb2013_000053,"[33, 19, 20, 23, 26]",23,33
NEKOb2013_000054,"[4, 12, 15, 14, 14, 11, 11, 11]",11,15
NEKOb2013_000055,"[5, 5, 6, 4, 6, 5, 9, 3, 7, 9, 6]",6,9
NEKOb2013_000056,"[6, 3, 4, 4, 6, 8, 4, 4, 4, 4, 4, 4, 6, 5]",4,8
NEKOb2013_000057,"[3, 3, 3, 3, 3, 3, 3, 5]",3,5
NEKOb2013_000058,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3,3
NEKOb2013_000059,"[3, 3, 4, 4, 3, 3, 4, 4, 3, 5, 3]",3,5
NEKOb2013_000060,"[3, 3, 2, 3, 2, 3, 3, 0]",3,3
NEKOb2013_000061,"[0, 5, 0, 0]",0,5
NEKOb2013_000062,"[4, 2, 2, 2, 1, 2, 6]",2,6
NEKOb2013_000063,"[16, 12, 18, 12, 12, 10, 18]",12,18
NEKOb2013_000064,"[7, 7, 9, 7, 7, 7, 8, 8, 7]",7,9
NEKOb2013_000065,"[7, 7, 10, 9, 8, 9, 7, 7]",7,10
NEKOb2013_000066,"[13, 2, 2, 4, 2, 3, 1, 2]",2,13
NEKOb2013_000067,"[1, 1, 1, 1, 1, 3, 10, 2]",1,10
NEKOb2013_000068,"[24, 20, 24, 24, 20, 24, 21, 24, 20, 24]",24,24
NEKOb2013_000069,"[25, 20, 22, 24, 24, 22]",23,25
NEKOb2013_000070,"[33, 36, 35, 32, 37]",35,37
NEKOb2013_000071,"[33, 40, 31, 34, 35]",34,40
NEKOb2013_000072,"[26, 31, 24, 31, 32, 44]",31,44
NEKOb2013_000073,"[20, 24, 23, 23]",23,24
NEKOb2013_000074,"[31, 30, 22, 22, 20, 21, 31, 35]",26,35
NEKOb2013_000075,"[42, 34, 20]",34,42
NEKOb2013_000076,"[18, 27, 31]",27,31
NEKOb2013_000077,"[17, 17, 30, 18]",17,30
NEKOb2013_000078,"[4, 5, 5, 0, 7, 8]",5,8
NEKOb2013_000079,"[4, 4, 4, 4, 4, 4]",4,4
NEKOb2013_000080,"[3, 3, 3, 4, 0, 4, 2, 3, 2, 4, 2, 7, 2]",3,7
NEKOb2013_000081,"[3, 3, 4, 3, 4, 6, 5, 0]",3,6
NEKOb2013_000082,"[5, 6, 4, 4, 4, 4, 4, 4]",4,6
NEKOb2013_000083,"[5, 5, 5, 4, 3]",5,5
NEKOb2013_000084,"[7, 6, 6, 7, 7, 7, 7, 8, 7, 7, 7, 6, 7, 7, 7, 7, 7]",7,8
NEKOb2013_000085,"[4, 5, 4, 4, 4]",4,5
NEKOb2013_000086,"[5, 5, 5, 4, 4, 5]",5,5
NEKOb2013_000087,"[6, 4, 5, 4, 6, 4, 5, 4, 4, 5]",4,6
NEKOb2013_000088,"[3, 3, 5, 6, 4, 6, 0, 6, 3]",4,6
NEKOb2013_000089,"[3, 7, 3, 3, 3, 3]",3,7
NEKOb2013_000090,"[0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0]",0,21
NEKOb2013_000091,"[2, 2, 2, 4, 3, 2, 2, 2, 2, 2]",2,4
NEKOb2013_000092,"[2, 5, 2, 2, 2, 2, 2, 2, 3, 1, 2, 3, 2, 2, 2, 3, 2, 2, 2]",2,5
NEKOb2013_000093,"[6, 6, 6, 6, 6, 5, 7, 6]",6,7
NEKOb2013_000094,"[23, 22, 21, 21, 22, 21, 16, 24]",21,24
NEKOb2013_000095,"[12, 13, 11, 17, 15]",13,17
NEKOb2013_000096,"[21, 18, 15]",18,21
NEKOb2013_000097,"[13, 6, 6, 10, 9]",9,13
NEKOb2013_000098,"[21, 18, 24, 17, 24, 28]",22,28
NEKOb2013_000099,"[22, 17]",19,22
NEKOb2013_000100,"[0, 24, 8, 17, 8]",8,24
NEKOb2013_000101,"[34, 31]",32,34
NEKOb2013_000102,"[5, 2, 4, 3, 3, 5, 4, 6, 2, 4, 6, 4, 3, 3, 4, 6, 3, 3, 6]",4,6
NEKOb2013_000103,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,2
NEKOb2013_000104,"[2, 2, 3, 2, 2, 2, 3, 0, 3]",2,3
NEKOb2013_000105,"[2, 2, 3, 2, 2, 2, 2, 2, 2, 2]",2,3
NEKOb2013_000106,"[2, 0]",1,2
NEKOb2013_000107,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,2
NEKOb2013_000108,"[4, 3, 3, 3, 3, 3, 3]",3,4
NEKOb2013_000109,"[4, 4, 3, 3, 3, 3, 3, 1, 3]",3,4
NEKOb2013_000110,"[3, 3, 3, 3, 3, 3, 3, 3, 3]",3,3
NEKOb2013_000111,"[6, 9, 7]",7,9
NEKOb2013_000112,"[4, 4, 4, 10, 4, 6]",4,10
NEKOb2013_000113,"[3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 6, 3]",3,6
NEKOb2013_000114,"[3, 3, 7, 3, 3, 3, 4, 3, 3]",3,7
NEKOb2013_000115,"[2, 4, 3, 3, 3, 5, 2, 3]",3,5
NEKOb2013_000116,"[4, 5, 5, 4, 5, 5, 7, 4, 4, 7, 4, 4, 5, 5, 4]",5,7
NEKOb2013_000117,"[6, 7, 4, 4]",5,7
NEKOb2013_000118,"[18, 17, 13, 16, 12, 16]",16,18
NEKOb2013_000119,"[11, 13, 12, 11, 15, 16, 11, 14, 10, 12, 9, 15, 12, 16]",12,16
NEKOb2013_000120,"[15, 16, 17, 22, 17]",17,22
NEKOb2013_000121,"[26, 24, 24, 24]",24,26
NEKOb2013_000122,"[25, 33, 30, 34, 38, 28, 43, 23, 37, 40, 33, 30, 25]",33,43
NEKOb2013_000123,"[51, 32, 20]",32,51
NEKOb2013_000124,"[26, 31, 20, 46]",28,46
NEKOb2013_000125,"[30, 38, 24, 28]",29,38
NEKOb2013_000126,"[9, 6, 6, 9, 9, 6, 8, 5, 9]",8,9
NEKOb2013_000127,"[2, 1, 2, 2, 1, 0, 2]",2,2
NEKOb2013_000128,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",1,1
NEKOb2013_000129,"[1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 0, 1, 2, 2]",1,3
NEKOb2013_000130,"[0, 1, 0, 2, 2]",1,2
NEKOb2013_000131,"[0, 1, 0, 0, 0]",0,1
NEKOb2013_000132,"[1, 1, 1, 1, 1, 1]",1,1
NEKOb2013_000133,"[2, 3, 0, 2, 2, 3, 2, 2]",2,3
NEKOb2013_000134,"[1, 1, 1, 1, 1, 1, 1, 1]",1,1
NEKOb2013_000135,"[13, 11, 20, 12, 12, 13, 11, 14, 13, 11, 11, 12, 12, 12, 13, 12, 15, 12, 16, 11, 11, 14, 22, 11, 11]",12,22
NEKOb2013_000136,"[11, 11, 13, 13, 11, 11, 10, 11, 11]",11,13
NEKOb2013_000137,"[14, 16, 15, 14, 13, 13]",14,16
NEKOb2013_000138,"[10, 4, 1, 17]",7,17
NEKOb2013_000139,"[0, 7, 10, 0, 0, 8]",3,10
NEKOb2013_000140,"[0, 1, 0, 2, 0, 1]",0,2
NEKOb2013_000141,"[7, 8, 3, 7, 4, 2]",5,8
NEKOb2013_000142,"[12, 16, 14, 18, 19, 14, 12, 19, 18, 19, 13, 17, 28]",17,28
NEKOb2013_000143,"[10, 8, 9, 9, 29, 11, 9]",9,29
NEKOb2013_000144,"[16, 18, 26, 38]",22,38
NEKOb2013_000145,"[29, 34, 38, 31]",32,38
NEKOb2013_000146,"[17, 31, 22, 31, 24]",24,31
NEKOb2013_000147,"[27, 27, 27, 29, 28, 32, 28, 27, 27, 26]",27,32
NEKOb2013_000148,"[28, 0, 9, 22, 29]",22,29
NEKOb2013_000149,"[37, 30, 27, 29, 24, 31]",29,37
NEKOb2013_000150,"[3, 1, 4, 2, 3, 3, 3, 3, 3, 1, 2, 5, 3, 1, 3, 3, 4, 2, 2, 3, 4, 2, 4, 0, 4, 3, 1]",3,5
NEKOb2013_000151,"[3, 2, 6, 2, 2, 4, 0, 2, 4]",2,6
NEKOb2013_000152,"[0, 2, 0, 4, 3, 1, 4, 2, 4]",2,4
NEKOb2013_000153,"[0, 4, 0, 3, 3, 2, 3, 5, 1, 2]",2,5
NEKOb2013_000154,"[2, 2, 2, 3, 2, 2, 2, 1]",2,3
NEKOb2013_000155,"[3, 3, 2, 2, 2, 2, 3, 2, 2]",2,3
NEKOb2013_000156,"[0, 3, 3, 3, 3, 3, 3, 3, 1]",3,3
NEKOb2013_000157,"[2, 1, 1, 2, 3, 1, 2, 2, 1, 2, 1, 2, 3, 1, 1, 1]",1,3
NEKOb2013_000158,"[2, 2, 2, 2, 2, 2, 2]",2,2
NEKOb2013_000159,"[6, 7, 8, 6, 7, 8, 9, 4]",7,9
NEKOb2013_000160,"[10, 10, 32, 20, 24, 9]",15,32
NEKOb2013_000161,"[39, 17, 16]",17,39
NEKOb2013_000162,"[20, 2, 2]",2,20
NEKOb2013_000163,"[8, 7, 8, 8]",8,8
NEKOb2013_000164,"[13, 22, 14, 23, 22, 1, 8, 3]",13,23
NEKOb2013_000165,"[2, 2, 21, 29, 22]",21,29
NEKOb2013_000166,"[11, 16, 8, 9, 8, 19, 22, 17, 13, 10, 12, 20, 10]",12,22
NEKOb2013_000167,"[19, 17, 26, 16]",18,26
NEKOb2013_000168,[21],21,21
NEKOb2013_000169,[28],28,28
NEKOb2013_000170,[42],42,42
NEKOb2013_000171,"[23, 24, 23, 23, 20, 23, 27, 24, 26, 22, 19, 22, 22, 27]",23,27
NEKOb2013_000172,"[24, 22]",23,24
NEKOb2013_000173,[6],6,6
NEKOb2013_000174,"[6, 4, 2, 2, 5, 6, 6, 3, 5, 6, 6, 3, 6, 5, 6, 6]",5,6
NEKOb2013_000175,"[1, 3, 4, 3, 3, 6, 6, 3, 6, 1, 3, 3, 9, 5]",3,9
NEKOb2013_000176,"[7, 4, 3, 4, 4, 4, 7]",4,7
NEKOb2013_000177,"[6, 5, 2, 4, 4, 3, 7, 6]",4,7
NEKOb2013_000178,"[2, 8, 6, 2, 7, 7, 5, 3, 6, 6, 8, 6]",6,8
NEKOb2013_000179,"[5, 8, 7, 6, 5, 7, 7, 6, 7]",7,8
NEKOb2013_000180,"[6, 6, 5, 5, 7, 7, 4, 6, 3, 6, 7, 6, 7, 5, 5, 7]",6,7
NEKOb2013_000181,"[6, 3, 4, 5, 5, 7, 5]",5,7
NEKOb2013_000182,"[2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3]",2,3
NEKOb2013_000183,"[7, 4, 7, 4, 4]",4,7
NEKOb2013_000184,"[4, 4, 16, 14, 18, 12, 4, 4, 4]",4,18
NEKOb2013_000185,"[5, 5, 5]",5,5
NEKOb2013_000186,"[4, 4, 22, 4, 4, 3]",4,22
NEKOb2013_000187,"[0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0]",0,7
NEKOb2013_000188,"[3, 4, 4, 4, 3, 3, 5, 3, 31]",4,31
NEKOb2013_000189,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",2,2
NEKOb2013_000190,"[7, 9, 10, 10, 11, 10, 10, 6, 10]",10,11
NEKOb2013_000191,"[24, 9, 24]",24,24
NEKOb2013_000192,"[28, 35, 23, 43, 35, 40, 35]",35,43
NEKOb2013_000193,[23],23,23
NEKOb2013_000194,"[28, 19, 29, 28, 0, 34]",28,34
NEKOb2013_000195,"[19, 20, 19, 24, 19, 34, 14, 21, 15, 19]",19,34
NEKOb2013_000196,"[22, 23, 33, 28, 28, 27]",27,33
NEKOb2013_000197,"[24, 29, 28, 29, 14, 30, 34, 29, 28, 27]",28,34
NEKOb2013_000198,"[5, 4, 4, 3, 2, 4, 3, 4, 4]",4,5
NEKOb2013_000199,"[3, 2, 4, 1, 3, 2, 3]",3,4
NEKOb2013_000200,"[3, 2, 2, 2, 4, 3, 3, 3]",3,4
NEKOb2013_000201,"[1, 3, 3, 4, 3, 2, 1, 2, 7, 4, 3, 2, 4, 2, 2, 5, 4, 1, 2, 3, 2, 3, 3, 2, 3, 2, 3, 4, 4, 4, 2, 4, 2, 2, 9, 1, 3, 2, 3, 1, 4, 5, 7, 2, 3, 3, 1, 2, 4]",3,9
NEKOb2013_000202,"[2, 2, 3, 1, 2, 1, 2, 2, 3, 3]",2,3
NEKOb2013_000203,"[1, 0, 1, 1, 1, 2, 0, 1, 1]",1,2
NEKOb2013_000204,"[3, 2, 1, 2, 3, 3]",2,3
NEKOb2013_000205,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1
NEKOb2013_000206,"[1, 2, 2, 2]",2,2
NEKOb2013_000207,"[6, 12, 8, 12, 2, 6]",7,12
NEKOb2013_000208,"[4, 1, 2, 2, 1, 3, 2, 2]",2,4
NEKOb2013_000209,"[1, 23, 15, 16]",15,23
NEKOb2013_000210,"[19, 2, 0, 2, 18]",2,19
NEKOb2013_000211,"[5, 16]",10,16
NEKOb2013_000212,"[4, 23, 3, 4]",4,23
NEKOb2013_000213,"[3, 3, 4, 13, 3]",3,13
NEKOb2013_000214,"[9, 8, 2, 8, 8]",8,9
NEKOb2013_000215,"[23, 23, 13, 18, 17]",18,23
NEKOb2013_000216,"[16, 19, 15, 13, 14, 14]",14,19
NEKOb2013_000217,"[23, 29, 30, 0, 16, 36]",26,36
NEKOb2013_000218,"[62, 19, 21, 30, 27]",27,62
NEKOb2013_000219,"[29, 29]",29,29
NEKOb2013_000220,"[20, 20, 21, 20, 19, 23, 22]",20,23
NEKOb2013_000221,"[21, 23, 28, 18, 18]",21,28
NEKOb2013_000222,"[6, 6, 6, 6, 7, 4, 6, 7, 2, 11]",6,11
NEKOb2013_000223,"[1, 1, 1, 2, 2, 1]",1,2
NEKOb2013_000224,"[2, 1, 3, 1, 1, 4, 1]",1,4
NEKOb2013_000225,"[1, 0, 1]",1,1
NEKOb2013_000226,"[2, 1, 2, 1, 2, 1, 2]",2,2
NEKOb2013_000227,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1
NEKOb2013_000228,"[2, 2, 0]",2,2
NEKOb2013_000229,"[1, 3, 1, 1, 1, 2, 1, 1, 1]",1,3
NEKOb2013_000230,"[2, 2, 2, 2, 4, 1, 3, 2]",2,4
NEKOb2013_000231,"[8, 2, 2]",2,8
NEKOb2013_000232,"[6, 6, 5, 11, 13, 8, 7, 7, 8, 8, 8, 13, 7, 9, 5, 6, 5, 8, 8, 12, 9, 9, 9, 9, 11, 8, 7, 7, 8, 8, 7, 6, 8, 7, 8]",8,13
NEKOb2013_000233,"[5, 6, 5, 8]",5,8
NEKOb2013_000234,"[6, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0]",0,6
NEKOb2013_000235,"[0, 7, 5, 0, 19, 10, 5, 18, 0]",5,19
NEKOb2013_000236,[],,
NEKOb2013_000237,[0],0,0
NEKOb2013_000238,"[10, 0, 1, 24]",5,24
NEKOb2013_000239,"[21, 8]",14,21
NEKOb2013_000240,"[36, 26, 23]",26,36
NEKOb2013_000241,[32],32,32
NEKOb2013_000242,"[23, 15, 24]",23,24
NEKOb2013_000243,"[31, 23, 27, 24, 22, 0, 20, 22]",22,31
NEKOb2013_000244,"[4, 15, 14]",14,15
NEKOb2013_000245,"[25, 15, 24, 13, 27, 20, 40]",24,40
NEKOb2013_000246,"[5, 2, 2, 3, 3, 4, 2]",3,5
NEKOb2013_000247,"[2, 4, 4, 2, 3, 2, 3, 2, 2]",2,4
NEKOb2013_000248,"[3, 3, 3, 1, 2, 4, 2, 3, 3, 4]",3,4
NEKOb2013_000249,"[5, 3, 3, 5, 2, 3, 2]",3,5
NEKOb2013_000250,"[2, 3, 3, 3, 3, 3, 3, 3]",3,3
NEKOb2013_000251,"[3, 2, 3, 1, 2, 2, 2, 1]",2,3
NEKOb2013_000252,"[3, 3, 3, 2, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3]",3,3
NEKOb2013_000253,"[2, 2, 2, 3, 3, 1, 3, 2, 1, 2, 3, 2]",2,3
NEKOb2013_000254,"[2, 2, 3, 2, 2, 3, 2, 2, 4, 2]",2,4
NEKOb2013_000255,"[14, 15, 14]",14,15
NEKOb2013_000256,"[3, 17, 3]",3,17
NEKOb2013_000257,[],,
NEKOb2013_000258,"[34, 51, 35]",35,51
NEKOb2013_000259,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1
NEKOb2013_000260,[8],8,8
NEKOb2013_000261,[],,
NEKOb2013_000262,"[0, 25]",12,25
NEKOb2013_000263,[],,
NEKOb2013_000264,"[0, 17]",8,17
NEKOb2013_000265,"[44, 38, 41]",41,44
NEKOb2013_000266,"[44, 0, 55, 27]",35,55
NEKOb2013_000267,"[25, 36, 31, 29, 30]",30,36
NEKOb2013_000268,"[31, 42]",36,42
NEKOb2013_000269,"[16, 16, 8, 8, 9]",9,16
NEKOb2013_000270,"[3, 3, 4, 0]",3,4
NEKOb2013_000271,"[1, 1, 1, 1, 2]",1,2
NEKOb2013_000272,"[0, 1, 1]",1,1
NEKOb2013_000273,"[0, 2, 1, 2, 1, 3]",1,3
NEKOb2013_000274,"[2, 2, 2, 2, 2, 1]",2,2
NEKOb2013_000275,"[2, 1, 2]",2,2
NEKOb2013_000276,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0]",1,1
NEKOb2013_000277,"[1, 1, 0, 3, 3, 1, 1]",1,3
NEKOb2013_000278,"[0, 2, 0, 1]",0,2
NEKOb2013_000279,"[1, 4, 0, 6, 1, 1, 1, 4, 1, 1, 4, 1, 4]",1,6
NEKOb2013_000280,"[14, 17]",15,17
NEKOb2013_000281,"[4, 9, 7, 6, 8, 2, 2, 7]",6,9
NEKOb2013_000282,"[2, 10, 5, 5, 15, 9, 7, 5]",6,15
NEKOb2013_000283,"[9, 19, 3]",9,19
NEKOb2013_000284,[],,
NEKOb2013_000285,"[24, 31]",27,31
NEKOb2013_000286,"[0, 25, 0, 0, 10, 19]",5,25
NEKOb2013_000287,"[14, 19, 18, 9, 15, 21, 12]",15,21
NEKOb2013_000288,[],,
NEKOb2013_000289,[],,
NEKOb2013_000290,"[21, 23, 42, 39]",31,42
NEKOb2013_000291,"[27, 37, 30, 29]",29,37
NEKOb2013_000292,"[0, 28, 25, 14, 34, 21, 31]",25,34
NEKOb2013_000293,"[15, 12, 29]",15,29
NEKOb2013_000294,"[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 4]",3,4
NEKOb2013_000295,"[1, 0, 1, 0, 1, 0, 1]",1,1
NEKOb2013_000296,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,2
NEKOb2013_000297,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 3, 1, 2, 2, 1, 2, 0, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2]",2,3
NEKOb2013_000298,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",1,2
NEKOb2013_000299,"[1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1]",1,3
NEKOb2013_000300,"[1, 0, 1, 1, 1, 1, 1, 1, 1]",1,1
NEKOb2013_000301,"[1, 1, 1, 2, 1, 1, 1, 1]",1,2
NEKOb2013_000302,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
NEKOb2013_000303,"[0, 0]",0,0
NEKOb2013_000304,"[12, 16, 30, 24, 26, 15, 25]",24,30
NEKOb2013_000305,"[13, 16, 20, 12, 19, 23, 11, 18]",17,23
NEKOb2013_000306,"[20, 18, 24, 18, 21, 15, 19, 15, 24, 19, 21, 23, 27, 22, 22, 33]",21,33
NEKOb2013_000307,[0],0,0
NEKOb2013_000308,[7],7,7
NEKOb2013_000309,"[2, 2, 2]",2,2
NEKOb2013_000310,[21],21,21
NEKOb2013_000311,[4],4,4
NEKOb2013_000312,[],,
NEKOb2013_000313,"[24, 11]",17,24
NEKOb2013_000314,[],,
NEKOb2013_000315,[],,
NEKOb2013_000316,"[43, 15, 33, 21]",27,43
NEKOb2013_000317,"[29, 20, 40]",29,40
NEKOb2013_000318,"[5, 6, 10, 9, 9, 7]",8,10
NEKOb2013_000319,"[4, 4, 4, 4, 1, 1, 8, 5, 3, 8, 0, 3]",4,8
NEKOb2013_000320,"[0, 7, 6, 5, 6, 7, 7, 7]",6,7
NEKOb2013_000321,"[4, 5, 3, 4, 4, 3, 5]",4,5
NEKOb2013_000322,"[3, 3, 1, 1, 3, 3, 1, 3, 5]",3,5
NEKOb2013_000323,"[2, 1, 7, 4, 6, 0, 7, 9, 7, 7, 7]",7,9
NEKOb2013_000324,"[3, 3, 0, 3, 3, 2, 3, 0]",3,3
NEKOb2013_000325,"[0, 0, 2, 3, 8, 2, 6, 0, 3, 2, 1, 2]",2,8
NEKOb2013_000326,"[0, 0, 0, 0]",0,0
NEKOb2013_000327,"[1, 2, 1, 0, 1, 1, 1]",1,2
NEKOb2013_000328,"[0, 0, 0, 0]",0,0
NEKOb2013_000329,"[0, 0, 0]",0,0
NEKOb2013_000330,[],,
NEKOb2013_000331,[1],1,1
NEKOb2013_000332,[0],0,0
NEKOb2013_000333,[],,
NEKOb2013_000334,[],,
NEKOb2013_000335,[],,
NEKOb2013_000336,[28],28,28
NEKOb2013_000337,"[21, 31]",26,31
NEKOb2013_000338,[],,
NEKOb2013_000339,[],,
NEKOb2013_000340,"[41, 36, 18, 29, 15, 28]",28,41
NEKOb2013_000341,[36],36,36
NEKOb2013_000342,"[4, 2, 3, 3, 3, 3, 3]",3,4
NEKOb2013_000343,"[3, 4, 2, 2, 4, 4, 3, 3, 4]",3,4
NEKOb2013_000344,"[5, 3, 6, 6, 2, 3]",4,6
NEKOb2013_000345,"[2, 2, 2, 2, 2, 2, 2]",2,2
NEKOb2013_000346,"[5, 2, 5, 5, 2, 7, 2, 4, 2]",4,7
NEKOb2013_000347,"[2, 2, 7, 6, 6, 4, 3, 4, 7]",4,7
NEKOb2013_000348,"[2, 3, 2, 3, 2, 5, 3, 4, 3, 5]",3,5
NEKOb2013_000349,"[2, 3, 2, 2, 3, 2, 3]",2,3
NEKOb2013_000350,"[2, 2, 2, 4, 4, 2, 3]",2,4
NEKOb2013_000351,"[1, 1, 1, 1, 1, 1, 1, 1]",1,1
NEKOb2013_000352,"[6, 6, 19]",6,19
NEKOb2013_000353,[],,
NEKOb2013_000354,"[28, 0, 0]",0,28
NEKOb2013_000355,"[0, 18, 21, 0, 0]",0,21
NEKOb2013_000356,"[0, 0, 0]",0,0
NEKOb2013_000357,[],,
NEKOb2013_000358,"[3, 4, 7]",4,7
NEKOb2013_000359,[12],12,12
NEKOb2013_000360,"[20, 18, 16]",18,20
NEKOb2013_000361,[27],27,27
NEKOb2013_000362,[],,
NEKOb2013_000363,[43],43,43
NEKOb2013_000364,"[23, 22, 29, 31]",26,31
NEKOb2013_000365,"[35, 19]",27,35
NEKOb2013_000366,"[13, 3, 3, 9, 2, 14]",6,14
NEKOb2013_000367,"[15, 5]",10,15
NEKOb2013_000368,"[3, 13, 5]",5,13
NEKOb2013_000369,"[0, 3, 2]",2,3
NEKOb2013_000370,"[4, 3, 5, 4, 7, 2, 5, 6, 3, 7]",4,7
NEKOb2013_000371,"[1, 11, 4, 6]",5,11
NEKOb2013_000372,"[0, 1, 5, 1, 4, 7]",2,7
NEKOb2013_000373,[],,
NEKOb2013_000374,"[8, 10, 10, 3, 8]",8,10
NEKOb2013_000375,"[4, 1, 2, 2, 2, 2, 2, 4, 2]",2,4
NEKOb2013_000376,"[0, 0]",0,0
NEKOb2013_000377,[],,
